ds,y,trend,yhat,yhat_lower,yhat_upper,trend_lower,trend_upper
2021-01-04,199.92,165.72822156355457,100.27823276244628,-24.21139612361337,231.84518934263755,165.72774568635438,165.7286562747956
2021-01-11,161.28,165.39428427125696,122.940879042261,-1.1152322322198165,242.77922356681145,165.39172108049405,165.39661979363873
2021-01-18,204.96,165.06034697895927,129.34757690609632,-0.8130943585504313,255.9293745290414,165.0544821800415,165.06641050296378
2021-01-25,124.32,164.72640968666167,114.2051606245588,-11.246869208973683,249.38960968143556,164.71758777367717,164.73684290675794
2021-02-01,192.36,164.392472394364,105.81474814975336,-23.84281589198582,232.51714899023287,164.3796499795319,164.40804108269825
2021-02-08,129.36,164.05853510206634,106.65561300552598,-26.848182922529034,236.56718792257283,164.04121329119846,164.07973996077462
2021-02-15,143.64,163.7245978097687,165.2973828326213,30.718948048000506,292.38008575639094,163.7026913845398,163.75162526638158
2021-02-22,178.08,163.39066051747102,210.95830129673914,88.16183710973151,340.4342759532927,163.3620285037495,163.42429582729963
2021-03-01,308.28,163.0567232251734,228.5110455875717,103.74223716459399,358.0354056542711,163.02202007192594,163.09647076251895
2021-03-08,194.04,162.72278593287575,219.61634032146844,103.66179578344975,342.4744112812997,162.6833626245599,162.76844540454113
2021-03-15,197.4,162.38884864057812,201.1418561585391,82.63736357363268,339.02724915557826,162.34474521800644,162.43995073731023
2021-03-22,259.56,162.05491134828046,204.1562202861449,76.52564425109205,324.369327173251,162.0054833151765,162.11197665327313
